date,approximate_time,total_num_transports,num_unique_transports,night_travel_ratio,hours_per_transit,activity_time,is_activity,is_tour,activity_count,novelty_flag,primary_transport_0,primary_transport_2,primary_transport_3,primary_transport_4,activity_type_0,activity_type_1,activity_type_2,activity_type_3,activity_type_4,activity_type_5
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.42831734103139474,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-04-16,0.9053145831190337,1.0,1.0,0.5833333333333334,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,0.14311139292026404,1.0,0.5,0.0,0.019230769230769232,0.42831734103139474,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-04-18,0.5308733279587541,1.0,1.0,0.0,0.1346153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,0.32341042505550693,0.5,0.5,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,0.42831734103139474,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-04-21,0.3877619350384901,1.0,1.0,0.0,0.07692307692307693,0.8566346820627895,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-04-22,0.3877619350384901,0.5,0.5,0.0,0.15384615384615385,0.5404763088546395,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-04-25,0.7755238700769802,1.0,0.5,0.0,0.3076923076923077,0.8566346820627895,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-04-26,0.0,0.0,0.0,0.0,0.0,0.8566346820627895,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-04-27,0.0,0.0,0.0,0.0,0.0,0.6274735630753033,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.8566346820627895,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.27023815442731974,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.6274735630753033,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.27023815442731974,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-05-07,0.6017012788023209,1.0,0.5,0.0,0.17307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,0.6606640410008077,1.0,0.5,0.0,0.21153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,0.6017012788023209,0.5,0.5,0.0,0.34615384615384615,0.6274735630753033,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-05-11,0.812711509291959,0.5,0.5,1.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
